case_number,prompt,clip_score
581177,A kitchen is shown with wooden cabinets and a wooden celling.,0.3149223029613495
267802,A group of people riding mopeds in a busy street. ,0.2896627187728882
208408,A person walking in the rain on the sidewalk. ,0.2983737885951996
314251,A parade of motorcycles is going through a group of tall trees.,0.35389044880867004
560591,a modern flush toilet in a bathroom with tile. ,0.33430546522140503
507362,Fog is in the air at an intersection with several traffic lights.,0.30536553263664246
57429,An airplane with its landing wheels out landing. ,0.2754572927951813
153184,Little birds sitting on the shoulder of a giraffe. ,0.3171217739582062
571970,a man with a bike at a marina,0.3396335244178772
133680,A man is sitting on a bench next to a bike.,0.3181968033313751
139011,People are waiting for the bus near a bus stop.,0.3021472096443176
223747,a man sleeping with his cat next to him,0.3318646550178528
505386,four urinals in a public restroom with a window,0.2873437702655792
107990,A small child climbs atop a large motorcycle,0.312130331993103
527510,A large U.S Air Force plain sits on an asphalt ramp.,0.2977558970451355
5247,A black and white photo of an older man skiing.,0.36180391907691956
107960,Riding a motorcycle down a street that has no one else on it.,0.2878045439720154
109976,An all white kitchen with an electric stovetop. ,0.30479511618614197
12667,The telephone has a banana where the receiver should be.,0.30684441328048706
410627,The young man is stirring his pot of food with a wooden spoon.,0.28958460688591003
232223,A fighter jet is flying at a fast speed.,0.297412246465683
22793,A public bathroom with a bunch of urinals.,0.3153732717037201
436456,The airplane is on the runway with two young men standing by.,0.297381728887558
368402,The woman in the kitchen is holding a huge pan.,0.29923126101493835
135161,A toilet sits next to a window and in front of a shower.,0.3128425180912018
178761,A dog and a goat with their noses touching at fence.,0.350267618894577
491000,Pedestrians walking down a sidewalk next to a small street.,0.282265841960907
538092,A man standing in a kitchen while closing a cupboard door.,0.3198058605194092
205577,A photograph of a kitchen inside a house.,0.2996951639652252
508672,a bike leaning on a metal fence next to some flowing water. ,0.2919646203517914
334015,a small toilet stall with a toilet brush and 3 rolls of toilet paper ,0.29722926020622253
27842,A dual sink vanity with mirrors above the sinks.,0.3243623673915863
358606,A fireplace with a fire built in it.,0.28580063581466675
567730,The sign of a restaurant in the outside of the store.,0.2650108337402344
61259,an airport with one plane flying away and the other sitting on the runway,0.27061888575553894
554037,"a counter with vegetables, knife and cutting board on it. ",0.32299375534057617
5394,A boat that looks like a car moves through the water. ,0.3135688602924347
455384,A delivery truck with an advertisement for Entourage.,0.348979651927948
249352,A black and white toilet with a plunger.,0.3088807761669159
348306,A bike leaning against a sign in Scotland.,0.3020821213722229
482917,A dog sitting between its masters feet on a footstool watching tv,0.29082024097442627
475593,Women father around a desk and machinery in a factory.,0.25763431191444397
145523,A few items sit on top of a toilet in a bathroom stall.,0.28973138332366943
143370,A bathroom with a poster of an ugly face above the toilette.,0.3288384675979614
279806,A dirt bike rider doing a stunt jump in the air,0.33483555912971497
59171,A couple of birds fly through a blue cloudy sky.,0.3114855885505676
369826,A picture advertising Arizona tourism in an airport,0.3880816698074341
534605,Man in motorcycle leathers standing in front of a group of bikes,0.3316705524921417
400552,A variety of pots are stored in a nook by a fireplace.,0.3346567749977112
238836,A car is stopped at a red light,0.2718898355960846
264461,A bathroom with a traditional toilet next to a floor toilet.,0.30607905983924866
342387,A group of people preparing food in a kitchen.,0.27796608209609985
488327,Posted signs point the way through a parking garage.,0.29368025064468384
540860,A green car on display next to a busy street.,0.31891846656799316
172851,A large passenger jet taking off from an airport.,0.3235715627670288
486194,Young woman carrying an opened umbrella in a city neighborhood.,0.3248130679130554
236148,An older man backing up a truck with a bicycle in it's flat bed.,0.25937244296073914
289393,Set of toy animals sitting in front of a red wooden wagon.,0.34635260701179504
115930,A group of men standing in front of a bar having a conversation.,0.32095032930374146
75663,A children play area absent of any children.,0.29135221242904663
352794,Fruit in a jar filled with liquid sitting on a wooden table.,0.32470420002937317
561256,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,0.3759421110153198
175954,A work station in use inside an office.,0.2703886032104492
484751,Three computer screens showing a panoramic beach scene.,0.3038698136806488
457834,Elephants are in a long line with people on top of them.,0.3194532096385956
412151,A bicycle store shows two males leaning toward a bike.,0.32118749618530273
427091,City traffic and pedestrians are headed in multiple directions on the street.,0.2509295344352722
32203,There are some dirt bike riders taking a sharp turn,0.2902686297893524
525971,A large group of motorcycle riders collect in a parking lot. ,0.33801159262657166
354572,People sitting under an umbrella looking at the scenery.,0.331758052110672
185360,A cow standing next to a damaged car on a dirty lot.,0.3505234718322754
338325,A striped plane flying up into the sky as the sun shines behind it.,0.2966434061527252
65485,A dog driving an SUV in an open grass covered field.,0.3452785015106201
226662,A customized motorcycle with more in the background.,0.29504114389419556
321064,A small wooden table covered with delicious vegetables. ,0.2926713526248932
11511,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,0.3343644142150879
263664,A couple on a motorcycle in front of a bus and a metermaid car,0.3283146619796753
468508,A red motorcycle parked on a sidewalk near multi-story buildings.,0.323432594537735
31984,A model standing next to a scooter in the middle of a room of people,0.35496729612350464
322791,An airplane is doing tricks and emitting smoke.,0.264371395111084
295768,Computer monitor and accesories sitting on a desk.,0.2775574028491974
229067,A group of people skiing down a snow covered slope.,0.33281761407852173
156324,A woman takes a selfie in front of a bathroom mirror.,0.3238923251628876
508605,Boy rides skateboard and does trick over stairs.,0.29732367396354675
268224,Three young people in a kitchen pointing to a pizza.,0.34867727756500244
206260,Assorted flavored donuts being grabbed by multiple hands.,0.3003424108028412
489528,An outside doorway to a restroom showing a destroyed wall and damaged floor.,0.2993707060813904
450308,A man stands with his bike in ankle deep water in a flooded city.,0.38117149472236633
221754,There is very little traffic at this city intersection.,0.2698219418525696
446409,A tabby cat laying on a cat scratcher in front of a bicycle wheel. ,0.30288878083229065
420958,This a view from an airplane of the landscape below.,0.3052307367324829
523400,"A bathroom with double sinks, mirrors, toilet and towel racks.",0.31049928069114685
40986,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,0.2645530104637146
8045,Tub and shower on platform in modern tiled bathroom.,0.3230546712875366
249025,An orange reddish rose in a vase filled with water on top of a table.,0.32818129658699036
255965,A cat pausing as it's picture is taken.,0.30277472734451294
529691,A row of park benches on the side of a green grassy hill. ,0.32608625292778015
482597,A man in an ATV is moving the cows along.,0.32597488164901733
51191,The view of a large bathroom with a walk in closet.,0.29498937726020813
249371,"Many sheep grazing in a large, green pasture.",0.33048078417778015
51598,A black trash bag in a restroom next to a sink.,0.24185393750667572
408364,A young man standing next to a race car with the red sox logo on it's hood.,0.2977840006351471
267862,A guy sitting on his motorcycle while a woman stands beside him,0.31792691349983215
536321,An adorable caleco cat sitting underneath a bicycle.,0.3601500391960144
148272,An adorable cat attempts to hide in a purse to steal the persons identity.,0.3440318703651428
36450,A very big teddy bear is next to a woman.,0.3501228094100952
138599,A BMW motor cycle parked next to shrub..,0.3044217526912689
501055,A photograph taken from an airplane window while in flight.,0.29460451006889343
445846,A clean kitchen with the windows white and open.,0.2978188395500183
363272,A man sitting on a stone block talking on a cell phone.,0.3191237151622772
231846,A yellow stripped cat sitting in a bathroom sink.,0.3804638087749481
260409,A person in a helmet standing by their motorcycle.,0.32501763105392456
220704,A cafeteria type kitchen that is not in use.,0.31049486994743347
158466,A young man jumping up into the air to catch a Frisbee.,0.3297317922115326
100138,A black motorcycle parked in front of trees.,0.32056885957717896
192871,A glass bowl filled with oranges on a table.,0.3165585994720459
349344,A yellow dune buggy on display amongst other automobiles.,0.35476672649383545
365642,A young attractive woman sitting on a toilette on the side of a street.,0.29351261258125305
317639,A woman is taking a picture of herself in a bathroom mirror.,0.31326356530189514
393569,A young woman using a laptop computer while sitting on a bunk bed.,0.29575303196907043
556837,A toilet in a stall with remote control buttons.,0.27091550827026367
282346,A skateboarder is riding his skateboard at night.,0.3627650737762451
116479,An old victorian style bed frame in a bedroom.,0.36065733432769775
63740,Two computers sitting on top of a desk.,0.29032281041145325
477016,A young child stands in the kitchen with an adult.,0.29388654232025146
172710,A woman kisses a man as they sit on a motorcycle.,0.35514265298843384
214274,A man and a woman cook in the kitchen.,0.2939952611923218
385757,A picture taken from the driver seat of car at a stop sign.,0.25468558073043823
181586,A black and white cat sits near a window looking outside.,0.3338480293750763
383464,The exterior of an airport with some planes.,0.3074415326118469
552979,A cat looking inside of a door from the outside.,0.3348682224750519
289714,A person in a kitchen looking at the oven.,0.2810426354408264
425690,An overview picture of a street at night.,0.2938668429851532
19523,two women loading their bicycles onto a bus rack,0.30234354734420776
570736,A view of a bathroom that is clean.,0.2840709090232849
510992,A picture of a white gas range with figurines above.,0.3063789904117584
278237,A street scene with several cars and a bus.,0.3124716281890869
319275,a person riding skis in the middle of a snowy street,0.3236894905567169
492937,A close up of a bike brake on a bicycle.,0.3157837390899658
430750,People walking toward an airplane to board it.,0.2754216194152832
370462,A ski resort that has a couple people outside. ,0.2883695662021637
205570,A woman uses a paintbrush on a melting candle.,0.35169920325279236
117425,A toddler celebrates his birthday with a cupcake.,0.3397815227508545
443351,One white motorcycle and one green motorcycle parked on the road,0.2989846169948578
97790,1 military jet fighter flying in formation alongside a 1 military propeller pilot. ,0.27027079463005066
375415,Fruit and vegetables are hanging in a metal basket.,0.3203478157520294
159977,A giraffe and a zebra checking each other out.,0.3091745972633362
576981,"Oranges in a basket, a pillow and a bottle of liquor.",0.29596689343452454
124766,A man wearing a blue bow tie and a fedora hat in a car. ,0.31299224495887756
498547,The kitchen has many grill with pots hanging all around.,0.23988792300224304
561620,Light from an open door shines on a simple wooden pew in a church.,0.29496651887893677
239985,A dog with goggles is in a motorcycle side car.,0.36177515983581543
43098,A man is walking down the street in front of a red door.,0.35565459728240967
325374,A woman holding a sheep by its front legs.,0.32363981008529663
568265,A man flying a kite in a park on a clear day,0.3579380512237549
14297,A house boat along the water has bicycles on deck.,0.2960203289985657
30423,Four giraffes in the wild eating from trees.,0.325050413608551
8180,A large airplane is on the airport runway.,0.2732652723789215
207652,A parked motorcycle with a red enclosed side car.,0.3177969753742218
232538,A yellow and blue train is next to an overhang.,0.3021322190761566
510150,A stoic looking cat sits in a green bowl.,0.32980093359947205
436972,A man in a uniform standing on a motorcycle in front of a crowd.,0.3593001365661621
564911,A oneworld passenger plane taking off from an airport.,0.3297789990901947
373193,A girl is sitting by her dog on the stairs.,0.3256415128707886
127585,An office with a leather couch surrounded by books.,0.33015280961990356
349590,Women taking picture of themselves while brushing their teeth.,0.3553018569946289
372413,Motorcyclist is taking a turn while onlookers observe ,0.2976531684398651
102625,An empty kitchen filled with dishes and appliances.,0.30015310645103455
145093,A stone building with a clock displayed on the outside. ,0.32471901178359985
100711,"Entertainment room with rack of dvds, tv and seating area.",0.30638787150382996
300216,A clean white bathroom with a simple mirror above the vanity.,0.3114539086818695
306313,An oven in a kitchen with a stove on top in between counter tops.,0.3161587715148926
349804,Three airplanes on display behind a high fence.,0.3168570399284363
548706,A bathroom sink and towels hanging on the door.,0.2617085874080658
271206,A white sink sitting underneath a round mirror.,0.3066999614238739
177934,A group of women operating a car wash.,0.3676697313785553
369763,A polie officer standing next to a  motorcycle parked on the street.,0.33663907647132874
312724,A group of different animals are grazing in the wild. ,0.3123469948768616
96549,An airplane on the runway either just landed or ready to take off.,0.29484784603118896
322604,A motorcycle rally on the street with many spectators.,0.33686959743499756
445002,an empty modern style bathroom for two people,0.30286356806755066
469192,A car is parked on dry grass with kites overhead.,0.34179824590682983
39430,Two sheep are looking over a cement wall.,0.338543564081192
215708,People are looking at a decorative cake with long candles.,0.3301335871219635
123843,A white bathroom has a white shower curtain.,0.2974683940410614
175024,A person sits on top of a motorcycle with a stuffed toy.,0.3305659294128418
106900,"A woman, man, and a dog standing in the snow. ",0.31596437096595764
74132,A bathroom with a large bathtub and sink under a large mirror.,0.3188508450984955
428769,Car parked at meter with license plate that says SUPABAAD.,0.27864354848861694
69236,a wooden and metal bench near a over grown bush,0.29402512311935425
262594,People standing on a roadway next to a vintage motorcycle.,0.24348174035549164
32054,A dog standing next to an address marker and a woman holding an umbrella.,0.36319485306739807
56070,A motorcycle parked next to a yellow thing and tree.,0.2996220290660858
11334,A close up detail of an ornate brickwork cathedral,0.2882169187068939
81505,The plane is flying through a clear blue sky.  ,0.26468557119369507
555472,An elephant is crossing a road while a jeep is parked watching. ,0.347157746553421
468858,An old floor standing tv next to a leather couch.,0.292574018239975
104381,A car stopped at a traffic light with it's brake lights on.,0.2436579167842865
525667,People standing around a park bench next to a bicycle.,0.3051265776157379
549386,A man standing outside of a building next to bicycles.,0.33412811160087585
237920,Empty seats in front of a building on a sidewalk.,0.31689348816871643
155997,A dog rides in a cart pulled by a man on a bike.,0.32480916380882263
5879,Two bicycle riders riding in the city at night.,0.3382377028465271
93959,A white kitchen with marble countertops and stone floors.,0.33899158239364624
251075,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,0.30399802327156067
281950,A lone toilet sits in a large bathroom.,0.3130112588405609
370210,Two dogs in a car looking out the window.,0.30477017164230347
531111,A bathroom with a black and white checkered floor.,0.3867325186729431
499177,A man riding a dirt bike on a country road in a forest.,0.3515527546405792
75118,A fighter jet doing tricks with smoke trailing behind it.,0.2921310365200043
90732,A little girl is mixing in a  kitchen bowl while standing on a chair.,0.3054380416870117
301574,three motor cycle racers posing on their parked bikes,0.31077927350997925
241876,A cat on the lid of a toilet looking perturbed.,0.31397733092308044
34474,A home with lots of wood darkly stained.,0.2724822759628296
364113,Two people riding different colored horses down a dirty road.,0.30218788981437683
79920,A living room with a large tv and pictures all around.,0.2751474976539612
494629,A man sits on a toilet while working on his computer at his desk.,0.333792507648468
61422,A bathroom with a sink and a toilet. ,0.2670634090900421
44652,A flying plane with smoke trailing behind it.,0.2965244948863983
210502,Part of train car with a door to the rear connected to the car behind it,0.27244898676872253
146961,A man is cooking in a crowded kitchen.,0.3286595642566681
9288,A toilet in a restroom next to a toilet paper dispenser,0.2806157171726227
136783,A rock wall next to a green tiled room.,0.3343394100666046
120157,A toilet bowl with no toilet seat in a restroom,0.2899119257926941
193680,Full grown cat laying down and sleeping on top of a car. ,0.32125282287597656
298396,Kitchen area with counter top space and dining room table. ,0.2793840169906616
565635,two lines of motorcycles driving down the road while a crowd watches,0.3126322031021118
561780,A group of older people sitting on a park bench with a dog on a leash.,0.34936031699180603
187513,A bathroom with a sliding shower door next to a toilet.,0.2973193824291229
230600,A toilet on the outside of a building next to a parking meter.,0.287918359041214
552883,"A view of a kitchen with cabinets, a sink and a clothes washer.",0.30457803606987
69293,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",0.3163606822490692
369979,Several pieces of art and a painting on display,0.2963494658470154
21711,Motorcyclists and a bicycle are parked on a yard.,0.3361433446407318
293153,The sightseeing boat streams along the river joined by a plane,0.27208954095840454
20788,A woman hovering over food on a wooden table.,0.2679179906845093
228214,A Marine that is looking at his cell phone.,0.2567109763622284
424378,A man with glasses riding in a car with an adorable dog in the backseat.,0.34649837017059326
400456,A man riding on the back of a brown horse in front of a truck.,0.31142112612724304
186697,A peson riding a bike down a long narrow road.,0.3177810311317444
336384,An airliner taking off from an airport runway.,0.2895129323005676
154419,A dog wearing a protective cone around it's head watching TV.,0.3251490890979767
331366,A man riding a bicycle down a sidewalk.,0.31208503246307373
251639,A cat sniffing an upside down blue bicycle.,0.3221292495727539
372113,A celebration with cake for Navy members stationed in Thailand,0.3703032433986664
554625,a boy wearing headphones using one computer in a long row of computers,0.3360607326030731
453634,A bathroom with a toilette with it's seat down.,0.27735593914985657
297414,A kitchen filled with dishes and appliances with lots of cupboards..,0.2983013987541199
412693,Two adorable birds perched on a piece of bamboo.,0.34120139479637146
442609,A messy kitchen with pots and pans laying around.,0.28715506196022034
132901,A man and a woman standing next to a motor cycle.,0.34943243861198425
75101,A large bathroom with an enclosed toilet and a large sink.,0.32093843817710876
493753,An office desk holding multiple computers and various supplies.,0.3360026776790619
521906,A man wearing a striped suit standing next to butcher knives.,0.3246636688709259
353982,A woman sitting at a table while holding a pair of scissors.,0.25627633929252625
85316,An old picture of a family on their farm.,0.3150465786457062
201775,A bathroom with two urinals and a sink.,0.26989853382110596
527260,A kitchen cluttered with dishes with a stove and oven.,0.3118591904640198
85145,An airplane flying in a blue sky with it's landing gear down.,0.3016514480113983
533900,A wooden bathroom with a wooden toilet next to a window.,0.3335637152194977
102735,Dog in parking lot and on a leash.,0.32935306429862976
56752,Man on a bicycle riding on the road next to a river.,0.34150704741477966
391375,A girl sitting on a bench in front of a stone wall.,0.33428049087524414
522137,Three Mercedes Benz on the top of a train as cargo ,0.2619730532169342
544713,A man sitting on a parked motorcycle on the street ,0.2709953486919403
448151,A birthday boy with car shaped cake and candles on it.,0.3384541869163513
537955,A brown dog standing on the kitchen floor looking up.,0.2929060757160187
557501,A bathroom is very colorful with blue yellow and red.,0.35146230459213257
327565,A collection of photos of an old motorcycle and parts.,0.30555012822151184
411564,A man sitting in a window ledge with a cell phone in his hand.,0.3154691457748413
438258,A little girl in ponytails holding on to a teddy bear.,0.30422183871269226
435880,A refrigerator next to a red wall in the kitchen. ,0.34785959124565125
555050,"A car driving in an intersection, past a furniture shop. ",0.3058602213859558
306444,A bathroom scene with focus on the toilet.,0.3239290118217468
139440,Six people in a boat rowing on a body of water.,0.30888158082962036
401411,A chef in a kitchen preparing a meal.,0.2940725088119507
31519,A group of rescue workers helping an overturned car,0.3205218017101288
220255,A large commercial airplane sitting on the runway.,0.30161672830581665
383601,A toilet with an object hanging off of it.,0.2655999958515167
154324,An empty bathroom with a shower next to a toilet.,0.2834424376487732
368978,A four engine jet transport airplane flying low.,0.298656165599823
466085,A bathroom that has been gutted with the shower basin the only thing left.,0.2675721049308777
237428,A blonde woman sitting on a park bench next to a green bike.,0.34786278009414673
5802,Two men wearing aprons working in a commercial-style kitchen.,0.31923362612724304
272015,A park bench in front of a porch in a green grass filled park.,0.32486411929130554
108283,A rotten door leading into a restroom covered in filth.,0.27495700120925903
360673,A group of motorcycles parked side by side in front of a donuts shop.,0.34514570236206055
465877,A chef in a kitchen standing next to a counter with jars and containers.,0.3072795271873474
524954,A urinal is displayed with modern porcelain structuring.,0.2898200452327728
242363,"A bathroom with a sink, toilet and shower bathtub combination.",0.32546496391296387
488943,A European street scene with a motorcycle and a car.,0.3269907832145691
396673,Two large commercial airplanes sitting on the runway.,0.3178873062133789
8218,A building with a black and gold clock on it.,0.34429460763931274
140307,A group of people sitting around a table under an umbrella.,0.30777987837791443
27065,A towel hangs beneath a sink in a bathroom.,0.29988306760787964
442009,a bathroom with a bath tub near windows,0.32330766320228577
264599,A crowded city street with lots of people walking around.,0.30026480555534363
332653,A man stands next to a motorbike on some pavement.,0.3248097896575928
239252,An elaborate contraption on a water faucet for a bathtub.,0.3237895667552948
506906,Two cups of black coffee sitting next to a coffee pot. ,0.2893441319465637
34196,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,0.29376256465911865
260627,A commuter train traveling down train track next to a rural road.,0.2965390682220459
13466,Two street signs are shown against more buildings.,0.29723480343818665
262514,A display of a toilet and sink in a store. ,0.28592491149902344
352151,a plane on an air port run way,0.264419287443161
127987,A baseball player bobble head next to two computer monitors on a desk.,0.3856642544269562
57703,A man and two women walking their dogs and hiking in the woods.,0.3245624899864197
199951,a person riding a motorcycle on an enclosed road,0.29377296566963196
525420,A bathtub is beneath a torn down wall.,0.3481120467185974
567220,"An open door leading to a bathroom toilet, with a shower rack and bureau visible.",0.3028797507286072
236535,A small plane is taking off from a grassy field.,0.3247906267642975
568893,"A hotel room with a flat screen tv, chair, and bed. ",0.3033362329006195
62483,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,0.3151431083679199
137967,A cubicle desk with two laptops on it. ,0.30736398696899414
580255,Two big dogs ride beside one another on the same vehicle seat.,0.30923640727996826
99389,A motorcycle parked in front of a graffiti covered building.,0.3715839982032776
152649,A jumbo jet airplane in flight on a sunny day.,0.28260883688926697
294832,A bathroom with an enclosed shower next to a sink and a toilet.,0.3134896755218506
499281,A kitchen with a bag from Whole Foods on the counter. ,0.28852221369743347
73280,a brown and white kitchen with a silver refrigerator,0.3065907955169678
176828,A airplane banking to the right as it ascends into the sky,0.2765582203865051
288639,A calico cat drinking water from a running tap in a bathroom.,0.3314245343208313
420490,A kitchen with an island and window over the sink.,0.2870956063270569
528729,A man talking on a cell phone walking an orange bike across a street.,0.2780812978744507
196047,a bathroom with a toilet and a bath tub,0.30519047379493713
147042,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",0.3039448857307434
50411,A mounted police officer riding down a city street past parked cars.,0.3531675338745117
43771,A bathroom containing a toilet and a sink.,0.2969829738140106
120021,A motorcycle with a red seat is on top of a stand. ,0.29368120431900024
27517,A person holds a flip phone displaying the screen.,0.29533499479293823
92678,A couple flying a kite at dusk on the seaside.,0.32663169503211975
175942,A street view with a plane flying ahead.,0.3311224579811096
279343,A group of fighter jets sitting on an airport tarmac.,0.3218080997467041
486521,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,0.328539103269577
564003,A restroom stall with a white toilet and a toilet paper dispenser.,0.31396928429603577
283910,A group of sheep being herded by a black dog.,0.32882481813430786
497099,A room filled with bathroom sinks and bath tubs.,0.3221433162689209
318361,a girl sitting at a kitchen table in a home,0.3003797233104706
115229,A  lawn sitting on a snowy sidewalk by a hydrant.,0.307516872882843
148766,some white and blue porcelain designer toilet bowls,0.3027784824371338
562090,A bathroom with all black fixtures in it.,0.31188705563545227
166003,A small room with a heater and a desk filled with clutter.,0.3147886395454407
136793,a toilet a toilet paper roll and a newspaper,0.32274696230888367
368335,a brown horse is walking in between two cars,0.3456990420818329
383777,A man in hipster clothes straddling a bicycle on the sidewalk.,0.3167998790740967
422326,A modified motorcycle parked with other motorcycles on the pavement.,0.2864696979522705
162280,A small bathroom with focus on the shower curtain.,0.30354782938957214
211491,An older woman sits in a sweater at the beach.,0.35948216915130615
160345,A man is sitting on a bench reading a book.,0.33609452843666077
231236,A beige tiled bathroom with white fixtures and a mirror.,0.31791672110557556
264964,A pile of feces sits on the back of a public restroom toilet.,0.33809080719947815
28389,A plane parked next to a truck next to a house.,0.28367698192596436
423798,A street at night is lit up by streetlights.,0.34581896662712097
307993,a man is reading a book in a car with a small dog,0.3077961504459381
351711,A motorcycle parked next to a bunch more with a plastic sign in front of it.,0.2987028658390045
449279,Three birthday candles stand lit on a cake.,0.29335036873817444
140420,A motorcycle is parked on a dirt road in a forest.,0.3609948754310608
386613,An older floor light sits deserted in an abandoned hospital.,0.31121280789375305
391132,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,0.3082267940044403
204186,Racers riding four wheelers while a crowd watches.,0.33695897459983826
421195,A combination of black and white sheep grazing in a meadow,0.3208898901939392
555983,A blurry motion picture of a person doing a wheelie on a motorcycle.,0.3330276906490326
544975,Wild animals grazing near a lagoon surrounded by trees.,0.30720457434654236
370165,A person on a motor bike doing a wheelie jump,0.3441801369190216
514537,A wild animal drinks water from the toilet bowl.,0.3395726680755615
292648,A man in a wetsuit is holding his surfboard on the pier. ,0.3045332431793213
246233,A massive wooden ship beached on snow covered ground.,0.3419942855834961
170232,A bus driving down a street in a small city.,0.2806691825389862
524202,The Space Shuttle is being transported by a NASA jumbo jet.,0.3422561287879944
208169,A large number of people riding motorcycles down the road.,0.3282947242259979
376177,A group of people observing two planes at an air show. ,0.34887784719467163
40471,An older picture of a large kitchen with white appliances.,0.3126111626625061
523953,A young boy stands next to a row of parked motorcycles.,0.3590330183506012
10363,A gray cat standing on top of a black car.,0.330555260181427
173008,A man in a tropical print shirt with glasses and long hair is eating a banana.,0.40751826763153076
391837,A man sitting on a motorcycle posing in front of a bay. ,0.32468265295028687
118965,A man sitting on his skateboard in a field.,0.3110479712486267
190829,Separate men sitting on park benches playing on phone and reading.,0.3158862888813019
314328,A clean white toilet in a stall with a chrome toilet brush.,0.29459860920906067
538359,A public bathroom sink and hand drying area.,0.31019797921180725
482187,a group of men staring at a cellphone image,0.32623112201690674
452793,A kitchen with a granite counter top and faucet.,0.3235017657279968
538497,There is a urinal and trash can inside a small room. ,0.3251662254333496
172843,An old toilet is transformed into a lawn ornament by adding soil and plants.,0.350233793258667
140006,Mopeds and bicycles parked next to parking meters.,0.2604205906391144
574145,A new and stylish bathroom with a walk in shower is shown.,0.31620359420776367
456865,An airplane just landed on the runway ,0.26494714617729187
504711,A fork rests on a plate next to a piece of cake.,0.29323235154151917
288584,A person dressed as a giraffe carrying a bullhorn.,0.3391268253326416
546642,A motorcyclist riding down the street with a dog in a basket.,0.31569820642471313
184531,A custom motorcycle sits in a car show,0.31590354442596436
49428,A bicycle is on the shelf in a display,0.3094373047351837
499391,A stove with a frying pan and a teapot on it.,0.29390162229537964
254644,A country charm type of kitchen is equipped with greenery and nick nacks.,0.32782793045043945
325357,Metallic looking container sitting in front of a brick wall. ,0.32929641008377075
283498,Plane on the tar mat of an airport.,0.31116098165512085
107907,Artistic toilet piece sitting in the center of a museum gallery. ,0.3245893716812134
57072,A stainless shiny serrated knife sits in front of a sliced loaf.,0.32562267780303955
526401,A group of motorcyclists driving down the road. ,0.3368445634841919
246613,A bathroom with a toilet and a couple towels.,0.3145194351673126
